tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
424,2013-06-01 00:11:53,2013-06-01 00:18:57,494,W 26 St & 8 Ave,40.74734825,-73.99723551,519,Pershing Square North,40.751873,-73.977706,18489,Subscriber,1957,1
1077,2013-06-01 00:12:28,2013-06-01 00:30:25,482,W 15 St & 7 Ave,40.73935542,-73.99931783,480,W 53 St & 10 Ave,40.76669671,-73.99061728,16963,Subscriber,1982,1
689,2013-06-01 00:12:33,2013-06-01 00:24:02,439,E 4 St & 2 Ave,40.7262807,-73.98978041,317,E 6 St & Avenue B,40.72453734,-73.98185424,16164,Subscriber,1982,1
722,2013-06-01 00:13:08,2013-06-01 00:25:10,453,W 22 St & 8 Ave,40.74475148,-73.99915362,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,16991,Subscriber,1985,1
435,2013-06-01 00:14:16,2013-06-01 00:21:31,531,Forsyth St & Broome St,40.71893904,-73.99266288,295,Pike St & E Broadway,40.71406667,-73.99293911,18855,Subscriber,1976,1
1997,2013-06-01 00:14:47,2013-06-01 00:48:04,531,Forsyth St & Broome St,40.71893904,-73.99266288,531,Forsyth St & Broome St,40.71893904,-73.99266288,16443,Subscriber,1969,2
1679,2013-06-01 00:14:58,2013-06-01 00:42:57,355,Bayard St & Baxter St,40.71602118,-73.99974372,303,Mercer St & Spring St,40.72362738,-73.99949601,17664,Customer,0,0
226,2013-06-01 00:15:01,2013-06-01 00:18:47,358,Christopher St & Greenwich St,40.73291553,-74.00711384,358,Christopher St & Greenwich St,40.73291553,-74.00711384,20306,Subscriber,1980,2
351,2013-06-01 00:15:19,2013-06-01 00:21:10,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,19842,Subscriber,1977,1
1221,2013-06-01 00:15:27,2013-06-01 00:35:48,355,Bayard St & Baxter St,40.71602118,-73.99974372,303,Mercer St & Spring St,40.72362738,-73.99949601,16937,Customer,0,0
624,2013-06-01 00:15:37,2013-06-01 00:26:01,271,Ashland Pl & Hanson Pl,40.68522671947255,-73.97800147533417,485,W 37 St & 5 Ave,40.75038009,-73.98338988,17317,Subscriber,1972,2
846,2013-06-01 00:15:43,2013-06-01 00:29:49,477,W 41 St & 8 Ave,40.75640548,-73.9900262,223,W 13 St & 7 Ave,40.73781509,-73.99994661,19116,Subscriber,1975,2
277,2013-06-01 00:15:47,2013-06-01 00:20:24,445,E 10 St & Avenue A,40.72740794,-73.98142006,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,20228,Subscriber,1974,1
200,2013-06-01 00:16:19,2013-06-01 00:19:39,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,475,E 15 St & Irving Pl,40.73524276,-73.98758561,18414,Subscriber,1983,1
141,2013-06-01 00:16:30,2013-06-01 00:18:51,423,W 54 St & 9 Ave,40.76584941,-73.98690506,480,W 53 St & 10 Ave,40.76669671,-73.99061728,17518,Subscriber,1962,1
808,2013-06-01 00:16:52,2013-06-01 00:30:20,493,W 45 St & 6 Ave (1),40.7568001,-73.98291153,457,Broadway & W 58 St,40.76695317,-73.98169333,19817,Subscriber,1960,1
1505,2013-06-01 00:17:29,2013-06-01 00:42:34,473,Rivington St & Chrystie St,40.72110063,-73.9919254,505,6 Ave & W 33 St,40.74901271,-73.98848395,16330,Subscriber,1980,1
2577,2013-06-01 00:17:30,2013-06-01 01:00:27,406,Hicks St & Montague St,40.69512845,-73.99595065,3002,South End Ave & Liberty St,40.711512,-74.015756,18817,Customer,0,0
1503,2013-06-01 00:17:42,2013-06-01 00:42:45,473,Rivington St & Chrystie St,40.72110063,-73.9919254,505,6 Ave & W 33 St,40.74901271,-73.98848395,19543,Customer,0,0
790,2013-06-01 00:17:55,2013-06-01 00:31:05,493,W 45 St & 6 Ave (1),40.7568001,-73.98291153,457,Broadway & W 58 St,40.76695317,-73.98169333,15903,Subscriber,1967,2
1659,2013-06-01 00:18:52,2013-06-01 00:46:31,358,Christopher St & Greenwich St,40.73291553,-74.00711384,528,2 Ave & E 31 St,40.74290902,-73.97706058,16822,Subscriber,1981,1
415,2013-06-01 00:19:03,2013-06-01 00:25:58,517,Pershing Square South,40.751581,-73.97791,2009,Catherine St & Monroe St,40.71117444,-73.99682619,19765,Subscriber,1977,2
921,2013-06-01 00:19:24,2013-06-01 00:34:45,2004,6 Ave & Broome St,40.724399,-74.004704,294,Washington Square E,40.73049393,-73.9957214,18451,Subscriber,1985,2
1493,2013-06-01 00:19:32,2013-06-01 00:44:25,358,Christopher St & Greenwich St,40.73291553,-74.00711384,528,2 Ave & E 31 St,40.74290902,-73.97706058,20306,Subscriber,1980,2
1622,2013-06-01 00:19:54,2013-06-01 00:46:56,3019,NYCBS Depot - DEL,40.716633,-73.981933,478,11 Ave & W 41 St,40.76030096,-73.99884222,15536,Customer,0,0
1561,2013-06-01 00:20:01,2013-06-01 00:46:02,249,Harrison St & Hudson St,40.71870987,-74.0090009,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,15678,Subscriber,1976,1
960,2013-06-01 00:20:29,2013-06-01 00:36:29,79,Franklin St & W Broadway,40.71911552,-74.00666661,294,Washington Square E,40.73049393,-73.9957214,15533,Subscriber,1983,1
1542,2013-06-01 00:20:35,2013-06-01 00:46:17,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,17427,Customer,0,0
627,2013-06-01 00:21:35,2013-06-01 00:32:02,465,Broadway & W 41 St,40.75513557,-73.98658032,465,Broadway & W 41 St,40.75513557,-73.98658032,19411,Subscriber,1976,1
518,2013-06-01 00:21:45,2013-06-01 00:30:23,247,Perry St & Bleecker St,40.73535398,-74.00483091,345,W 13 St & 6 Ave,40.73649403,-73.99704374,15647,Subscriber,1982,1
587,2013-06-01 00:21:46,2013-06-01 00:31:33,412,Forsyth St & Canal St,40.7158155,-73.99422366,412,Forsyth St & Canal St,40.7158155,-73.99422366,20197,Subscriber,1968,1
42964,2013-06-01 00:22:06,2013-06-01 12:18:10,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,18157,Subscriber,1987,2
1343,2013-06-01 00:22:15,2013-06-01 00:44:38,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,495,W 47 St & 10 Ave,40.76269882,-73.99301222,20176,Customer,0,0
410,2013-06-01 00:22:32,2013-06-01 00:29:22,490,8 Ave & W 33 St,40.751551,-73.993934,448,W 37 St & 10 Ave,40.75660359,-73.9979009,20338,Subscriber,1985,1
206,2013-06-01 00:22:32,2013-06-01 00:25:58,509,9 Ave & W 22 St,40.7454973,-74.00197139,462,W 22 St & 10 Ave,40.74691959,-74.00451887,15954,Subscriber,1971,1
975,2013-06-01 00:22:39,2013-06-01 00:38:54,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,18299,Subscriber,1977,1
911,2013-06-01 00:22:46,2013-06-01 00:37:57,505,6 Ave & W 33 St,40.74901271,-73.98848395,280,E 10 St & 5 Ave,40.73331967,-73.99510132,17211,Customer,0,0
1297,2013-06-01 00:23:10,2013-06-01 00:44:47,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,495,W 47 St & 10 Ave,40.76269882,-73.99301222,16608,Customer,0,0
807,2013-06-01 00:23:32,2013-06-01 00:36:59,503,E 20 St & Park Ave,40.73827428,-73.98751968,503,E 20 St & Park Ave,40.73827428,-73.98751968,19072,Customer,0,0
377,2013-06-01 00:23:38,2013-06-01 00:29:55,510,W 51 St & 6 Ave,40.7606597,-73.98042047,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,18981,Subscriber,1982,1
1462,2013-06-01 00:24:14,2013-06-01 00:48:36,389,Broadway & Berry St,40.71044554,-73.96525063,482,W 15 St & 7 Ave,40.73935542,-73.99931783,19600,Subscriber,1985,1
500,2013-06-01 00:24:53,2013-06-01 00:33:13,492,W 33 St & 7 Ave,40.75019995,-73.99093085,334,W 20 St & 7 Ave,40.74238787,-73.99726235,19376,Subscriber,1954,1
477,2013-06-01 00:24:57,2013-06-01 00:32:54,3019,NYCBS Depot - DEL,40.716633,-73.981933,444,Broadway & W 24 St,40.7423543,-73.98915076,16289,Subscriber,1963,1
1744,2013-06-01 00:25:07,2013-06-01 00:54:11,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,384,Fulton St & Washington Ave,40.683048,-73.964915,15888,Subscriber,1984,1
1671,2013-06-01 00:26:18,2013-06-01 00:54:09,2009,Catherine St & Monroe St,40.71117444,-73.99682619,406,Hicks St & Montague St,40.69512845,-73.99595065,15228,Customer,0,0
1638,2013-06-01 00:26:50,2013-06-01 00:54:08,2009,Catherine St & Monroe St,40.71117444,-73.99682619,406,Hicks St & Montague St,40.69512845,-73.99595065,20080,Customer,0,0
2461,2013-06-01 00:28:31,2013-06-01 01:09:32,357,E 11 St & Broadway,40.73261787,-73.99158043,342,Columbia St & Rivington St,40.71739973,-73.98016555,14577,Subscriber,1980,1
183,2013-06-01 00:28:32,2013-06-01 00:31:35,412,Forsyth St & Canal St,40.7158155,-73.99422366,340,Madison St & Clinton St,40.71269042,-73.98776323,18856,Subscriber,1990,0
985,2013-06-01 00:29:51,2013-06-01 00:46:16,285,Broadway & E 14 St,40.73454567,-73.99074142,393,E 5 St & Avenue C,40.72299208,-73.97995466,20195,Subscriber,1990,1
1024,2013-06-01 00:29:57,2013-06-01 00:47:01,285,Broadway & E 14 St,40.73454567,-73.99074142,393,E 5 St & Avenue C,40.72299208,-73.97995466,15487,Subscriber,1990,1
1496,2013-06-01 00:30:00,2013-06-01 00:54:56,532,S 5 Pl & S 5 St,40.710451,-73.960876,251,Mott St & Prince St,40.72317958,-73.99480012,18886,Customer,0,0
583,2013-06-01 00:30:18,2013-06-01 00:40:01,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,247,Perry St & Bleecker St,40.73535398,-74.00483091,19456,Subscriber,1973,1
905,2013-06-01 00:31:06,2013-06-01 00:46:11,229,Great Jones St,40.72743423,-73.99379025,426,West St & Chambers St,40.71754834,-74.01322069,18976,Customer,0,0
1035,2013-06-01 00:31:34,2013-06-01 00:48:49,303,Mercer St & Spring St,40.72362738,-73.99949601,404,9 Ave & W 14 St,40.7405826,-74.00550867,15271,Subscriber,1987,1
367,2013-06-01 00:31:35,2013-06-01 00:37:42,470,W 20 St & 8 Ave,40.74345335,-74.00004031,512,W 29 St & 9 Ave,40.7500727,-73.99839279,17193,Subscriber,1960,1
412,2013-06-01 00:33:17,2013-06-01 00:40:09,285,Broadway & E 14 St,40.73454567,-73.99074142,504,1 Ave & E 16 St,40.73221853,-73.98165557,17800,Customer,0,0
1246,2013-06-01 00:33:33,2013-06-01 00:54:19,445,E 10 St & Avenue A,40.72740794,-73.98142006,238,Bank St & Washington St,40.7361967,-74.00859207,15971,Subscriber,1990,1
120540,2013-06-01 00:33:33,2013-06-02 10:02:33,466,W 25 St & 6 Ave,40.74395411,-73.99144871,515,W 43 St & 10 Ave,40.76009437,-73.99461843,16685,Subscriber,1983,1
124,2013-06-01 00:33:47,2013-06-01 00:35:51,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,19347,Subscriber,1984,1
49891,2013-06-01 00:34:26,2013-06-01 14:25:57,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,308,St James Pl & Oliver St,40.71307916,-73.99851193,17195,Subscriber,1978,2
501,2013-06-01 00:34:32,2013-06-01 00:42:53,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,152,Warren St & Church St,40.71473993,-74.00910627,19080,Subscriber,1974,1
3719,2013-06-01 00:34:42,2013-06-01 01:36:41,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,14842,Customer,0,0
1525,2013-06-01 00:34:54,2013-06-01 01:00:19,233,Cadman Plaza W & Pierrepont St,40.69475701363877,-73.99052739143372,511,E 14 St & Avenue B,40.72938685,-73.97772429,17778,Subscriber,1984,1
1526,2013-06-01 00:34:55,2013-06-01 01:00:21,233,Cadman Plaza W & Pierrepont St,40.69475701363877,-73.99052739143372,511,E 14 St & Avenue B,40.72938685,-73.97772429,18269,Subscriber,1985,1
1088,2013-06-01 00:34:58,2013-06-01 00:53:06,79,Franklin St & W Broadway,40.71911552,-74.00666661,439,E 4 St & 2 Ave,40.7262807,-73.98978041,15601,Subscriber,1964,1
879,2013-06-01 00:35:14,2013-06-01 00:49:53,504,1 Ave & E 16 St,40.73221853,-73.98165557,454,E 51 St & 1 Ave,40.75455731,-73.96592976,19806,Subscriber,1976,1
8299,2013-06-01 00:35:51,2013-06-01 02:54:10,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,312,Allen St & Stanton St,40.722055,-73.989111,19318,Customer,0,0
357,2013-06-01 00:36:02,2013-06-01 00:41:59,439,E 4 St & 2 Ave,40.7262807,-73.98978041,504,1 Ave & E 16 St,40.73221853,-73.98165557,18586,Subscriber,1983,1
2215,2013-06-01 00:37:15,2013-06-01 01:14:10,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,19878,Customer,0,0
915,2013-06-01 00:37:56,2013-06-01 00:53:11,143,Clinton St & Joralemon St,40.69239502,-73.99337909,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,19810,Subscriber,1985,1
2184,2013-06-01 00:38:00,2013-06-01 01:14:24,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,17770,Customer,0,0
547,2013-06-01 00:38:58,2013-06-01 00:48:05,441,E 52 St & 2 Ave,40.756014,-73.967416,383,Greenwich Ave & Charles St,40.735238,-74.000271,17183,Subscriber,1967,1
934,2013-06-01 00:40:08,2013-06-01 00:55:42,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,518,E 39 St & 2 Ave,40.74780373,-73.9734419,19079,Subscriber,1974,1
673,2013-06-01 00:40:23,2013-06-01 00:51:36,447,8 Ave & W 52 St,40.76370739,-73.9851615,433,E 13 St & Avenue A,40.72955361,-73.98057249,18318,Subscriber,1982,1
537,2013-06-01 00:40:27,2013-06-01 00:49:24,482,W 15 St & 7 Ave,40.73935542,-73.99931783,0,,,,15090,Subscriber,1981,1
1142,2013-06-01 00:41:09,2013-06-01 01:00:11,303,Mercer St & Spring St,40.72362738,-73.99949601,447,8 Ave & W 52 St,40.76370739,-73.9851615,16451,Customer,0,0
586,2013-06-01 00:41:26,2013-06-01 00:51:12,465,Broadway & W 41 St,40.75513557,-73.98658032,168,W 18 St & 6 Ave,40.73971301,-73.99456405,19411,Subscriber,1976,1
601,2013-06-01 00:41:51,2013-06-01 00:51:52,465,Broadway & W 41 St,40.75513557,-73.98658032,225,W 14 St & The High Line,40.74195138,-74.00803013,17941,Subscriber,1981,2
244,2013-06-01 00:41:57,2013-06-01 00:46:01,492,W 33 St & 7 Ave,40.75019995,-73.99093085,459,W 20 St & 11 Ave,40.746745,-74.007756,15070,Subscriber,1973,1
100,2013-06-01 00:43:20,2013-06-01 00:45:00,355,Bayard St & Baxter St,40.71602118,-73.99974372,355,Bayard St & Baxter St,40.71602118,-73.99974372,17136,Subscriber,1984,2
509,2013-06-01 00:43:28,2013-06-01 00:51:57,357,E 11 St & Broadway,40.73261787,-73.99158043,2008,Little West St & 1 Pl,40.70569254,-74.01677685,16570,Subscriber,1970,1
97,2013-06-01 00:44:23,2013-06-01 00:46:00,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,17844,Subscriber,1984,1
693,2013-06-01 00:44:27,2013-06-01 00:56:00,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,461,E 20 St & 2 Ave,40.73587678,-73.98205027,14570,Subscriber,1983,1
529,2013-06-01 00:44:29,2013-06-01 00:53:18,2022,E 60 St & York Ave,40.759107,-73.959223,486,Broadway & W 29 St,40.7462009,-73.98855723,17006,Subscriber,1984,1
437,2013-06-01 00:44:35,2013-06-01 00:51:52,508,W 46 St & 11 Ave,40.76341379,-73.99667444,495,W 47 St & 10 Ave,40.76269882,-73.99301222,15387,Subscriber,1990,2
1787,2013-06-01 00:45:01,2013-06-01 01:14:48,295,Pike St & E Broadway,40.71406667,-73.99293911,146,Hudson St & Reade St,40.71625008,-74.0091059,16315,Customer,0,0
1797,2013-06-01 00:45:17,2013-06-01 01:15:14,295,Pike St & E Broadway,40.71406667,-73.99293911,168,W 18 St & 6 Ave,40.73971301,-73.99456405,15105,Customer,0,0
2347,2013-06-01 00:45:44,2013-06-01 01:24:51,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,18572,Subscriber,1996,1
450,2013-06-01 00:47:01,2013-06-01 00:54:31,410,Suffolk St & Stanton St,40.72066442,-73.98517977,355,Bayard St & Baxter St,40.71602118,-73.99974372,15097,Customer,0,0
75,2013-06-01 00:47:09,2013-06-01 00:48:24,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,15148,Subscriber,1988,1
684,2013-06-01 00:47:40,2013-06-01 00:59:04,303,Mercer St & Spring St,40.72362738,-73.99949601,375,Mercer St & Bleecker St S,40.72679454,-73.99695094,15889,Customer,0,0
480,2013-06-01 00:47:45,2013-06-01 00:55:45,528,2 Ave & E 31 St,40.74290902,-73.97706058,461,E 20 St & 2 Ave,40.73587678,-73.98205027,14987,Subscriber,1965,2
472,2013-06-01 00:47:51,2013-06-01 00:55:43,528,2 Ave & E 31 St,40.74290902,-73.97706058,0,,,,16257,Subscriber,1965,1
878,2013-06-01 00:47:59,2013-06-01 01:02:37,311,Norfolk St & Broome St,40.7172274,-73.98802084,376,John St & William St,40.70862144,-74.00722156,20341,Subscriber,1969,1
1270,2013-06-01 00:48:01,2013-06-01 01:09:11,362,Broadway & W 37 St,40.75172632,-73.98753523,349,Rivington St & Ridge St,40.71850211,-73.98329859,16309,Subscriber,1979,1
704,2013-06-01 00:48:09,2013-06-01 00:59:53,328,Watts St & Greenwich St,40.72405549,-74.00965965,355,Bayard St & Baxter St,40.71602118,-73.99974372,15243,Subscriber,1982,1
1086,2013-06-01 00:48:12,2013-06-01 01:06:18,404,9 Ave & W 14 St,40.7405826,-74.00550867,152,Warren St & Church St,40.71473993,-74.00910627,18802,Subscriber,1966,1
1797,2013-06-01 00:48:48,2013-06-01 01:18:45,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,358,Christopher St & Greenwich St,40.73291553,-74.00711384,19764,Subscriber,1988,1
277,2013-06-01 00:49:13,2013-06-01 00:53:50,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,82,St James Pl & Pearl St,40.71117416,-74.00016545,17637,Subscriber,1984,1
1181,2013-06-01 00:49:13,2013-06-01 01:08:54,146,Hudson St & Reade St,40.71625008,-74.0091059,253,W 13 St & 5 Ave,40.73543934,-73.99453948,16905,Subscriber,1966,1
294,2013-06-01 00:50:53,2013-06-01 00:55:47,488,W 39 St & 9 Ave,40.75645824,-73.99372222,480,W 53 St & 10 Ave,40.76669671,-73.99061728,16339,Subscriber,1981,1
793,2013-06-01 00:51:05,2013-06-01 01:04:18,79,Franklin St & W Broadway,40.71911552,-74.00666661,305,E 58 St & 3 Ave,40.76095756,-73.96724467,16936,Customer,0,0
1097,2013-06-01 00:52:25,2013-06-01 01:10:42,514,12 Ave & W 40 St,40.76087502,-74.00277668,223,W 13 St & 7 Ave,40.73781509,-73.99994661,19902,Subscriber,1986,1
1825,2013-06-01 00:52:39,2013-06-01 01:23:04,259,South St & Whitehall St,40.70122128,-74.01234218,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,18952,Subscriber,1982,1
848,2013-06-01 00:53:27,2013-06-01 01:07:35,233,Cadman Plaza W & Pierrepont St,40.69475701363877,-73.99052739143372,418,Front St & Gold St,40.70224,-73.982578,16284,Subscriber,1982,2
210,2013-06-01 00:53:49,2013-06-01 00:57:19,294,Washington Square E,40.73049393,-73.9957214,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,17209,Subscriber,1991,1
917,2013-06-01 00:53:55,2013-06-01 01:09:12,251,Mott St & Prince St,40.72317958,-73.99480012,445,E 10 St & Avenue A,40.72740794,-73.98142006,19289,Subscriber,1971,1
1179,2013-06-01 00:54:32,2013-06-01 01:14:11,238,Bank St & Washington St,40.7361967,-74.00859207,393,E 5 St & Avenue C,40.72299208,-73.97995466,16696,Subscriber,1990,1
5648,2013-06-01 00:55:19,2013-06-01 02:29:27,217,Old Fulton St,40.70277159,-73.99383605,217,Old Fulton St,40.70277159,-73.99383605,15613,Customer,0,0
1717,2013-06-01 00:55:26,2013-06-01 01:24:03,376,John St & William St,40.70862144,-74.00722156,482,W 15 St & 7 Ave,40.73935542,-73.99931783,15995,Subscriber,1952,1
2203,2013-06-01 00:55:47,2013-06-01 01:32:30,405,Washington St & Gansevoort St,40.739323,-74.008119,150,E 2 St & Avenue C,40.7208736,-73.98085795,19089,Subscriber,1983,1
5607,2013-06-01 00:55:48,2013-06-01 02:29:15,217,Old Fulton St,40.70277159,-73.99383605,217,Old Fulton St,40.70277159,-73.99383605,17275,Customer,0,0
